,GENE ID
990,ENSG00000145362
991,ENSG00000248152
992,ENSG00000151150
993,ENSG00000254271
994,ENSG00000151687
995,ENSG00000166839
996,ENSG00000189045
997,ENSG00000132623
998,ENSG00000153930
999,ENSG00000185722
1000,ENSG00000154122
1001,ENSG00000272057
1002,ENSG00000131503
1003,ENSG00000249637
1004,ENSG00000254996
1005,ENSG00000001629
1006,ENSG00000170209
1007,ENSG00000160117
1008,ENSG00000176915
1009,ENSG00000144504
1010,ENSG00000106524
1011,ENSG00000164331
1012,ENSG00000148677
1013,ENSG00000165887
1014,ENSG00000135299
1015,ENSG00000106013
1016,ENSG00000156381
1017,ENSG00000088448
1018,ENSG00000229152
1019,ENSG00000167522
1020,ENSG00000234429
1021,ENSG00000231686
1022,ENSG00000101745
1023,ENSG00000076513
1024,ENSG00000198720
1025,ENSG00000118454
1026,ENSG00000172932
1027,ENSG00000134461
1028,ENSG00000132466
1029,ENSG00000250220
1030,ENSG00000180071
1031,ENSG00000230453
1032,ENSG00000159712
1033,ENSG00000226435
1034,ENSG00000217165
1035,ENSG00000218577
1036,ENSG00000187984
1037,ENSG00000260691
1038,ENSG00000183148
1039,ENSG00000276203
1040,ENSG00000172014
1041,ENSG00000186481
1042,ENSG00000274502
1043,ENSG00000236816
1044,ENSG00000229089
1045,ENSG00000206192
1046,ENSG00000226695
1047,ENSG00000215559
1048,ENSG00000251056
1049,ENSG00000249493
1050,ENSG00000196593
1051,ENSG00000277112
1052,ENSG00000152766
1053,ENSG00000163126
1054,ENSG00000089847
1055,ENSG00000107890
1056,ENSG00000261239
1057,ENSG00000235550
1058,ENSG00000237636
1059,ENSG00000229427
1060,ENSG00000105186
1061,ENSG00000206560
1062,ENSG00000154065
1063,ENSG00000148513
1064,ENSG00000180777
1065,ENSG00000163046
1066,ENSG00000175302
1067,ENSG00000224309
1068,ENSG00000230501
1069,ENSG00000145700
1070,ENSG00000167612
1071,ENSG00000164236
1072,ENSG00000250106
1073,ENSG00000229689
1074,ENSG00000254728
1075,ENSG00000288434
1076,ENSG00000255111
1077,ENSG00000254547
1078,ENSG00000255162
1079,ENSG00000254558
1080,ENSG00000255305
1081,ENSG00000254916
1082,ENSG00000272031
1083,ENSG00000189127
1084,ENSG00000235711
1085,ENSG00000259234
1086,ENSG00000198483
1087,ENSG00000135976
