,GENE NAME,GENE ID
890,AQP4,ENSG00000171885
891,AQP5,ENSG00000161798
892,AQP6,ENSG00000086159
893,AQP7,ENSG00000165269
894,AQP7B,ENSG00000259916
895,AQP8,ENSG00000103375
896,AQP9,ENSG00000103569
897,AQP10,ENSG00000143595
898,AQP11,ENSG00000178301
899,AQP12A,ENSG00000184945
900,AQP12B,ENSG00000185176
901,AQR,ENSG00000021776
902,AR,ENSG00000169083
903,ARAF,ENSG00000078061
904,ARAP1,ENSG00000186635
905,ARAP2,ENSG00000047365
906,ARAP3,ENSG00000120318
907,ARC,ENSG00000198576
908,ARCN1,ENSG00000095139
909,AREG,ENSG00000109321
910,AREL1,ENSG00000119682
911,ARF1,ENSG00000143761
912,ARF3,ENSG00000134287
913,ARF4,ENSG00000168374
914,ARF5,ENSG00000004059
915,ARF6,ENSG00000165527
916,ARFGAP1,ENSG00000101199
917,ARFGAP2,ENSG00000149182
918,ARFGAP3,ENSG00000242247
919,ARFGEF1,ENSG00000066777
920,ARFGEF2,ENSG00000124198
921,ARFGEF3,ENSG00000112379
922,ARFIP1,ENSG00000164144
923,ARFIP2,ENSG00000132254
924,ARFRP1,ENSG00000101246
925,ARG1,ENSG00000118520
926,ARG2,ENSG00000081181
927,ARGFX,ENSG00000186103
928,ARGLU1,ENSG00000134884
929,ARHGAP1,ENSG00000175220
930,ARHGAP4,ENSG00000089820
931,ARHGAP5,ENSG00000100852
932,ARHGAP6,ENSG00000047648
933,ARHGAP8,ENSG00000241484
934,ARHGAP9,ENSG00000123329
935,ARHGAP10,ENSG00000071205
936,ARHGAP11A,ENSG00000198826
937,ARHGAP11B,ENSG00000285077
938,ARHGAP12,ENSG00000165322
939,ARHGAP15,ENSG00000075884
940,ARHGAP17,ENSG00000140750
941,ARHGAP18,ENSG00000146376
942,ARHGAP19,ENSG00000213390
943,ARHGAP20,ENSG00000137727
944,ARHGAP21,ENSG00000107863
945,ARHGAP22,ENSG00000128805
946,ARHGAP23,ENSG00000275832
947,ARHGAP24,ENSG00000138639
948,ARHGAP25,ENSG00000163219
949,ARHGAP26,ENSG00000145819
950,ARHGAP27,ENSG00000159314
951,ARHGAP28,ENSG00000088756
952,ARHGAP29,ENSG00000137962
953,ARHGAP30,ENSG00000186517
954,ARHGAP31,ENSG00000031081
955,ARHGAP32,ENSG00000134909
956,ARHGAP33,ENSG00000004777
957,ARHGAP35,ENSG00000160007
958,ARHGAP36,ENSG00000147256
959,ARHGAP39,ENSG00000147799
960,ARHGAP40,ENSG00000124143
961,ARHGAP42,ENSG00000165895
962,ARHGAP44,ENSG00000006740
963,ARHGAP45,ENSG00000180448
964,ARHGDIA,ENSG00000141522
965,ARHGDIB,ENSG00000111348
966,ARHGDIG,ENSG00000242173
967,ARHGEF1,ENSG00000076928
968,ARHGEF2,ENSG00000116584
969,ARHGEF3,ENSG00000163947
970,ARHGEF4,ENSG00000136002
971,ARHGEF5,ENSG00000050327
972,ARHGEF6,ENSG00000129675
973,ARHGEF7,ENSG00000102606
974,ARHGEF9,ENSG00000131089
975,ARHGEF10,ENSG00000104728
976,ARHGEF10L,ENSG00000074964
977,ARHGEF11,ENSG00000132694
978,ARHGEF12,ENSG00000196914
979,ARHGEF15,ENSG00000198844
980,ARHGEF16,ENSG00000130762
981,ARHGEF17,ENSG00000110237
982,ARHGEF18,ENSG00000104880
983,ARHGEF19,ENSG00000142632
984,ARHGEF25,ENSG00000240771
985,ARHGEF26,ENSG00000114790
986,ARHGEF28,ENSG00000214944
987,ARHGEF33,ENSG00000214694
988,ARHGEF35,ENSG00000213214
989,ARHGEF37,ENSG00000183111
990,ARHGEF38,ENSG00000236699
991,ARHGEF39,ENSG00000137135
992,ARHGEF40,ENSG00000165801
993,ARID1A,ENSG00000117713
994,ARID1B,ENSG00000049618
995,ARID2,ENSG00000189079
